SNO,CO,NOX
22191,737270955863.0593,727951589828.2307
22192,737242121197.6698,727923153189.8041
22193,737295492218.905,727975877843.7684
22194,737556213799.3839,728233317541.2747
22195,736970566822.9756,727655098291.6716
22196,737452553964.124,728130992085.6687
22197,736876147912.3715,727561883852.8597
22198,736651512809.4678,727340066455.6422
22199,736965920766.1531,727650477950.1013
22200,736631377277.4934,727320165888.6399
22201,736739267585.6881,727426687126.4299
22202,736750342483.893,727437601343.318
22203,736557080253.9226,727246845644.9366
22204,736805012992.0524,727491681111.4283
22205,739507364429.7964,730159793233.697
22206,739594937219.7972,730246206704.2439
22207,740083723971.0066,730728764749.9849
22208,730465878357.6111,721232559759.9266
22209,725466298334.5004,716296233390.973
22210,732920127059.6255,723655808137.8773
22211,740014530218.1965,730660450381.4664
22212,739994316635.204,730640505093.5441
22213,740128801951.6179,730773290697.6807
22214,743918664746.623,734514906310.9797
22215,745989473518.8009,736559659599.2886
22216,745712913673.8375,736286704779.8335
22217,745583751385.2682,736159274569.7303
22218,745469864032.6473,736046828412.4424
22219,745573241629.4342,736148906403.39
22220,745286582395.4138,735865789905.9912
22221,745379538293.093,735957512573.2987
22222,745346592294.0068,735924981284.7351
22223,745501193363.0627,736077565038.0837
22224,739850896339.153,730499024118.8472
22225,739726867907.7858,730376518071.797
22226,739356601736.1599,730010952439.2798
22227,739701384679.7262,730351403494.0057
22228,739828428475.6632,730476868700.3221
22229,744050289485.1774,734645268588.9476
22230,739556443730.5853,730208288961.7301
22231,739861089371.9291,730509099032.9869
22232,739527321921.1724,730179549859.8796
22233,739626349106.1221,730277309538.4222
22234,739782096850.8523,730431062573.4072
22235,740326679610.8553,730968754463.0244
22236,740164118795.0613,730808272663.6729
22237,739994579758.9054,730640898160.3835
22238,735980474314.28,726677239400.9327
22239,746003930914.1832,736573899455.9028
22240,746003818170.2249,736573926300.4688
22241,745697496253.6597,736271546951.9283
22242,745878430049.4213,736450301481.0089
22243,745539117574.2098,736115310682.3136
22244,745785551486.9989,736358637746.8654
22245,746006810346.1598,736576959487.6078
22246,746165367131.9215,736733480809.305
22247,746256225219.8451,736823206037.1506
22248,743376789228.8179,733980194102.0806
22249,739186997193.8583,729843484296.1274
22250,740419166936.3367,731060099205.3524
22251,741038005985.0159,731671109997.1758
22252,741081136734.518,731713716202.5814
22253,741133718803.8914,731765648147.8186
22254,741015540653.0405,731648989994.4915
22255,741135446978.9507,731767384557.8168
22256,740942472359.2007,731576878796.5656
22257,741278590063.3851,731908743742.2883
22258,741760921667.6381,732384971728.864
22259,741736791645.4836,732361171367.463
22260,740875541879.1959,731510874965.7114
22261,740849551958.3398,731485295833.4026
22262,740710460171.5723,731347963269.283
22263,740745235183.091,731382310020.1221
22264,740675212445.9346,731313181540.4812
22265,740599406445.6141,731238307013.9902
22266,740703077371.02,731340609250.4775
22267,739977391058.234,730624094986.8702
22268,737017469339.0549,727701672773.5427
22269,723292483518.2267,714149945083.9966
22270,732908109256.5369,723644401117.5449
22271,728293910865.8442,719088493448.7472
22272,728523118958.5707,719314856552.6967
22273,740058621981.3223,730704418315.1251
22274,739177517839.7722,729834427829.1199
22275,739660487742.0244,730311209693.7905
22276,732486228286.4543,723227702492.6722
22277,726315647024.7406,717135081799.2539
22278,722796964135.473,713660750637.9058
22279,721848766038.6814,712724427072.468
22280,719622060164.8518,710525758341.5249
22281,738917000928.338,729576823659.2747
22282,734524811157.0112,725240009644.9591
22283,731980615517.091,722728112254.0955
22284,740229162886.3253,730872339978.1328
22285,739874634813.0929,730522304144.2075
22286,746427593880.7549,736992103549.0753
22287,738207015096.4851,728875899264.8151
22288,738687064961.6633,729349994103.0524
22289,738529983360.8159,729195082808.3639
22290,738135220523.4812,728805347644.1732
22291,738086110538.1606,728756842888.2784
22292,735514244898.6667,726217460668.87
22293,722702083017.5892,713567195512.1469
22294,726077446849.7762,716899924411.5682
22295,720082078951.5243,710980198887.7972
22296,718116992829.2217,709039885385.1067
22297,739633007320.1283,730283862198.9269
22298,740428111265.1442,731068896956.3108
22299,739843423754.8169,730491614258.4502
22300,739974395502.9758,730620906709.156
22301,741813703420.1101,732436816059.524
22302,738830609990.0952,729491478284.9779
22303,740778603935.8513,731414822282.4136
22304,740897356071.2781,731532084497.0653
22305,739287719515.3094,729942833256.6648
22306,740903549164.5105,731538232558.3376
22307,740889875587.3876,731524738910.723
22308,735742729575.0332,726442690249.0457
22309,722675617221.8286,713540708053.8167
22310,742189295521.165,732807292237.8905
22311,747210827331.411,737765359965.4498
22312,747375226372.3975,737927733069.4658
22313,746906451461.4938,737464877381.533
22314,746753677978.49,737314070120.6588
22315,746419472529.3776,736984095318.9833
22316,746269115062.8243,736835674309.5955
22317,746209419594.5385,736776769824.9192
22318,746159773476.9917,736727773681.1873
22319,746087010826.3527,736655874738.0016
22320,746347749875.2783,736913266278.2202
22321,746342499976.8575,736908067377.2046
22322,738124894498.7979,728794576175.8353
22323,730287200570.6445,721056296132.0459
22324,739882638921.638,730530335407.0924
22325,740329105088.8561,730971156877.268
22326,738657721207.0984,729320707337.009
22327,733831486875.1417,724555569139.4708
22328,735670546547.4391,726371379788.4136
22329,735144227095.3506,725851738665.5786
22330,736445241887.7386,727136306249.9965
22331,734395870634.4016,725112880801.8121
22332,726190751264.6045,717011622226.4861
22333,724797125491.2847,715635657169.1603
22334,725377287051.1353,716208511856.9999
22335,729770317770.472,720546074634.0193
22336,744784523055.6257,735370112911.5911
22337,744822646278.1392,735407829781.8694
22338,726924895364.8254,717736721471.9905
22339,726464614194.631,717282198929.5968
22340,727364018984.4043,718170224956.7969
22341,735653202606.2606,726354478838.5553
22342,732358647168.98,723101582284.8679
22343,731676338206.3815,722427875597.8356
22344,731979208137.4996,722726842617.2618
